text,label
@AmericanAir since you don't care about what happens to your passengers on your planes we will now be contacting the Police Dept,negative
@united yea they been booked on 10 next avalible flights since sat 7am. And when time comes no plane 2nd day of work missed #hotelliving,negative
@JetBlue the departure time keeps getting Late Flightr.  I'll be lucky if I'm home by 3am,negative
@united I submitted a status match last week and have not heard back. Im a delta customer looking to switch to United. Please assist.,neutral
@united nothing else from you ^GJ? Where is your customer service?,negative
@AmericanAir its now 17 days since I contacted customer relations... #surf #fail #BaggageDrama http://t.co/CS1673hrqQ,negative
@AmericanAir when the pilot announces that the plane has been unused for 2 days and maintenance is dealing with another aircraft..,negative
"@JetBlue figured it out 4 flight 2morrow. Hard to believe with oil so low, and the killing u make that even part of a hotel can't be comp'd",negative
@USAirways Just spoke with a representative. Moved my flight earlier. Thank you so much for the follow up.,positive
@AmericanAir no not yet. Waiting to be connected to an agent,neutral
@USAirways you see now that is a lie.  They auto respond with insulting email. #sucks,negative
@united my reservation were changed so that I can longer make my connecting flight. How can I change this without incurring a fee?,neutral
"@AmericanAir lost my cats, missed their flights, kept them crated 30 hrs for a  would-be 5 hr trip. You'll never touch my pets again.",negative
@AmericanAir I really wanted to sign up for your airline credit card but your absurd $400 change fee to switch my flight made me think twice,negative
"@united on a 4 seg flt yvr to zurich, why would you credit all miles and but only 2 segs on full fare?",negative
@USAirways I have a flight voucher/confirmation code but there is no where for me to enter it on your checkout page while Flight Booking Problems. Pls help,negative
@AmericanAir I have been trying to get through to someone about my Cancelled Flightled flight tomorrow for over 4 hours.,negative
@USAirways F623 DEN:PHX impressive lack of concern by 1hr+ Late Flight flight attndt wrecking havoc on customer travel #smugsmirk #norush,negative
@SouthwestAir u were bae until u lost both of my bags and had no clue where they were or what happened to them for 36 hours :/,negative
"@united Do I need to use a Chase United Club pass for my 8yr old son, or can he come in with me on my pass?",neutral
@SouthwestAir I sent you my conf number yesterday.,negative
@JetBlue flight 117. proud to fly Jet Blue!,positive
@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good,positive
@JetBlue dropped 3x in past hour,negative
"@united It's still a valid flight. Just seems strange to delay for Late Flight inbound crew,  7 hours from now, when the plane is already here.",negative
@USAirways I’ll do that in addition to reviewing on my blog. Your agents were pleasant but the experience was less than :/,negative
@JetBlue they say they have no update. I don't work I don't get paid.  Jet blue has my money but no flight. Argh!,negative
@AmericanAir check your dm pls,neutral
"@usairways  US1799 CLT-&gt;SFO in first no desert, no snack basket. Incoming was on time ? What’s up?",negative
"@united CMH gate staff a disaster..#3345 overbooked, no volunteers, no boarding, 20 min Late Flight trying to figure out issue #bringbackrealstaff",negative
"Without notifying though? “@AmericanAir: @krescate We don't like Cancelled Flightling flights, Kim, but weather has not played nice with us.""",negative
@united we needed to be at steamboat for a meeting by 3pm so we took a shuttle. The United customer service people said the bag would be on,negative
@united - Plane came in with broken seat.  Rather than fix it they put a broken sign on it and separated me from my kids.,negative
@AmericanAir yes and the auto rebook confirmed an outbound that departs after the return flight.  # fire the software programmers,negative
"@JetBlue done, thank you!",positive
@SouthwestAir Can you equip a 737 with flamethrowers and a snow plow?,neutral
@USAirways No access to Dividend Miles and for a week the automated phone keeps telling me to call back Late Flightr. #FRUSTRATED #LivePersonPlease,negative
@SouthwestAir Cancelled Flightled my flight without explanation and won't pick up the phone...25 minutes and counting.   #customerservice @olive201,negative
@AmericanAir he is at the Boston airport. There is a problem. The agents will not honor the voucher because one number is rubbed out.,negative
"@united if u miss first leg of ur flight, you have to pay hundreds of $'s just to keep your second leg? How much to keep my earned miles?",negative
@SouthwestAir any delays today @CAKairport to Orlando?,neutral
"@SouthwestAir everyone deserves red carpet tx until they destroy your luggage &amp;only give you $75 voucher, like I want to fly w/them again!",negative
@AmericanAir its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired,negative
@JetBlue @AmericanAir ah ha! I misread the end date as being 2014 not 2015. Thanks for clarifying :),positive
@SouthwestAir no I wasn't. After over an hour was too frustrated and had to hang up.,negative
@SouthwestAir you have no baggage tracking system?,negative
"@united ""Dear Ted. We don't care about you nor the Mileage Plus Card you pay a lot for. Bye bye. -- United""",negative
@AmericanAir ya but u weren't sitting on the plane.,negative
"@USAirways I don't want a reservation change, just adding a service. Am going public with this to get help.",negative
@united Booked 11 tix 1 month ago and now its about $157 CHEAPER and customer service was useless. What's up with that???,negative
@USAirways I've been on hold for one hour and four minutes for your reservations line. How can you possibly do business this way?,negative
@AmericanAir How is it possible that your call system can refuse callers for over twelve hours? What service options does that leave?,negative
@united - are you aware your airbus fleet sucks?  I'd rather fly a C-130 full of rubber dog shit.,negative
@SouthwestAir @BernhardtJH I did eventually get through but that flight Cancelled Flightled.  Decided to drive but gave up holding to process refund,negative
@AmericanAir I DM'd you. Anything you can do?,negative
@southwestair please help us check in... i never expected you to make travel painful... just like the rest all of a sudden...#intlcheckin#,negative
@United can you help me get from IAH to SFO earlier tonight?,neutral
@SouthwestAir now flight is book and I have to fly standby if they will allow me to check in before the flight takes off,neutral
@AmericanAir just need to know why it wasn't done like it was promised it would yesterday,negative
@USAirways I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate (1),negative
@JetBlue still sitting in plane in Newburg. This is getting #ridiculous. No way to treat #loyal customers.,negative
"@SouthwestAir like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?",negative
